Rank,NOC,Gold,Silver,Bronze,Total,Year
43,PHI,0,0,0,0,1968
43,POR,0,0,0,0,1968
43,PUR,0,0,0,0,1968
43,SEN,0,0,0,0,1968
43,SGP,0,0,0,0,1968
43,SLE,0,0,0,0,1968
43,SMR,0,0,0,0,1968
43,SRI,0,0,0,0,1968
43,SUD,0,0,0,0,1968
43,SUR,0,0,0,0,1968
43,SYR,0,0,0,0,1968
43,TAN,0,0,0,0,1968
43,THA,0,0,0,0,1968
43,TTO,0,0,0,0,1968
43,URU,0,0,0,0,1968
43,VNM,0,0,0,0,1968
43,ZAM,0,0,0,0,1968
1,Soviet Union,50,27,22,99,1972
2,United States,33,31,30,94,1972
3,East Germany,20,23,23,66,1972
4,West Germany,13,11,16,40,1972
5,Japan,13,8,8,29,1972
6,Australia,8,7,2,17,1972
7,Poland,7,5,9,21,1972
8,Hungary,6,13,16,35,1972
9,Bulgaria,6,10,5,21,1972
10,Italy,5,3,10,18,1972
11,Sweden,4,6,6,16,1972
12,Great Britain,4,5,9,18,1972
13,Romania,3,6,7,16,1972
14,Cuba,3,1,4,8,1972
14,Finland,3,1,4,8,1972
16,Netherlands,3,1,1,5,1972
17,France,2,4,7,13,1972
18,Czechoslovakia,2,4,2,8,1972
19,Kenya,2,3,4,9,1972
20,Yugoslavia,2,1,2,5,1972
21,Norway,2,1,1,4,1972
22,North Korea,1,1,3,5,1972
23,New Zealand,1,1,1,3,1972
24,Uganda,1,1,0,2,1972
25,Denmark,1,0,0,1,1972
26,Switzerland,0,3,0,3,1972
27,Canada,0,2,3,5,1972
28,Iran,0,2,1,3,1972
29,Belgium,0,2,0,2,1972
29,Greece,0,2,0,2,1972
31,Austria,0,1,2,3,1972
31,Colombia,0,1,2,3,1972
33,Argentina,0,1,0,1,1972
33,Lebanon,0,1,0,1,1972
33,Mexico,0,1,0,1,1972
33,Mongolia,0,1,0,1,1972
33,Pakistan,0,1,0,1,1972
33,South Korea,0,1,0,1,1972
33,Tunisia,0,1,0,1,1972
33,Turkey,0,1,0,1,1972
41,Brazil,0,0,2,2,1972
41,Ethiopia,0,0,2,2,1972
43,Ghana,0,0,1,1,1972
43,India,0,0,1,1,1972
43,Jamaica,0,0,1,1,1972
43,Niger,0,0,1,1,1972
43,Nigeria,0,0,1,1,1972
43,Spain,0,0,1,1,1972
44,AFG,0,0,0,0,1972
44,AHO,0,0,0,0,1972
44,ALB,0,0,0,0,1972
44,ALG,0,0,0,0,1972
44,BAH,0,0,0,0,1972
44,BAR,0,0,0,0,1972
44,BEN,0,0,0,0,1972
44,BER,0,0,0,0,1972
44,BIZ,0,0,0,0,1972
44,BOL,0,0,0,0,1972
44,BUR,0,0,0,0,1972
44,CAM,0,0,0,0,1972
44,CGO,0,0,0,0,1972
44,CHA,0,0,0,0,1972
44,CHI,0,0,0,0,1972
44,CIV,0,0,0,0,1972
44,CMR,0,0,0,0,1972
44,CRC,0,0,0,0,1972
44,DOM,0,0,0,0,1972
44,ECU,0,0,0,0,1972
44,EGY,0,0,0,0,1972
44,ESA,0,0,0,0,1972
44,FIJ,0,0,0,0,1972
44,GAB,0,0,0,0,1972
44,GUA,0,0,0,0,1972
44,GUY,0,0,0,0,1972
44,HAI,0,0,0,0,1972
44,HKG,0,0,0,0,1972
44,INA,0,0,0,0,1972
44,IRL,0,0,0,0,1972
44,ISL,0,0,0,0,1972
44,ISR,0,0,0,0,1972
44,ISV,0,0,0,0,1972
44,KSA,0,0,0,0,1972
44,KUW,0,0,0,0,1972
44,LBR,0,0,0,0,1972
44,LES,0,0,0,0,1972
44,LIE,0,0,0,0,1972
44,LUX,0,0,0,0,1972
44,MAD,0,0,0,0,1972
44,MAR,0,0,0,0,1972
44,MAS,0,0,0,0,1972
44,MAW,0,0,0,0,1972
44,MLI,0,0,0,0,1972
44,MLT,0,0,0,0,1972
44,MON,0,0,0,0,1972
44,MYA,0,0,0,0,1972
44,NCA,0,0,0,0,1972
44,NEP,0,0,0,0,1972
44,PAN,0,0,0,0,1972
44,PAR,0,0,0,0,1972
44,PER,0,0,0,0,1972
44,PHI,0,0,0,0,1972
44,POR,0,0,0,0,1972
44,PUR,0,0,0,0,1972
44,SEN,0,0,0,0,1972
44,SGP,0,0,0,0,1972
44,SMR,0,0,0,0,1972
44,SOM,0,0,0,0,1972
44,SRI,0,0,0,0,1972
44,SUD,0,0,0,0,1972
44,SUR,0,0,0,0,1972
44,SWZ,0,0,0,0,1972
44,SYR,0,0,0,0,1972
44,TAN,0,0,0,0,1972
44,THA,0,0,0,0,1972
44,TOG,0,0,0,0,1972
44,TPE,0,0,0,0,1972
44,TTO,0,0,0,0,1972
44,URU,0,0,0,0,1972
44,VEN,0,0,0,0,1972
44,VNM,0,0,0,0,1972
44,ZAM,0,0,0,0,1972
1,Soviet Union,49,41,35,125,1976
2,East Germany,40,25,25,90,1976
3,United States,34,35,25,94,1976
4,West Germany,10,12,17,39,1976
5,Japan,9,6,10,25,1976
6,Poland,7,6,13,26,1976
7,Bulgaria,6,9,7,22,1976
8,Cuba,6,4,3,13,1976
9,Romania,4,9,14,27,1976
10,Hungary,4,5,13,22,1976
11,Finland,4,2,0,6,1976
12,Sweden,4,1,0,5,1976
13,Great Britain,3,5,5,13,1976
14,Italy,2,7,4,13,1976
15,France,2,3,4,9,1976
16,Yugoslavia,2,3,3,8,1976
17,Czechoslovakia,2,2,4,8,1976
18,New Zealand,2,1,1,4,1976
19,South Korea,1,1,4,6,1976
20,Switzerland,1,1,2,4,1976
21,Jamaica,1,1,0,2,1976
21,North Korea,1,1,0,2,1976
21,Norway,1,1,0,2,1976
24,Denmark,1,0,2,3,1976
25,Mexico,1,0,1,2,1976
26,Trinidad and Tobago,1,0,0,1,1976
27,Canada,0,5,6,11,1976
28,Belgium,0,3,3,6,1976
29,Netherlands,0,2,3,5,1976
30,Portugal,0,2,0,2,1976
30,Spain,0,2,0,2,1976
32,Australia,0,1,4,5,1976
33,Iran,0,1,1,2,1976
34,Mongolia,0,1,0,1,1976
34,Venezuela,0,1,0,1,1976
36,Brazil,0,0,2,2,1976
37,Austria,0,0,1,1,1976
37,Bermuda,0,0,1,1,1976
37,Pakistan,0,0,1,1,1976
37,Puerto Rico,0,0,1,1,1976
37,Thailand,0,0,1,1,1976
38,AHO,0,0,0,0,1976
38,AND,0,0,0,0,1976
38,ANT,0,0,0,0,1976
38,ARG,0,0,0,0,1976
38,BAH,0,0,0,0,1976
38,BAR,0,0,0,0,1976
38,BIZ,0,0,0,0,1976
38,BOL,0,0,0,0,1976
38,CAY,0,0,0,0,1976
38,CHI,0,0,0,0,1976
38,CIV,0,0,0,0,1976
38,CMR,0,0,0,0,1976
38,COL,0,0,0,0,1976
38,CRC,0,0,0,0,1976
38,DOM,0,0,0,0,1976
38,ECU,0,0,0,0,1976
38,EGY,0,0,0,0,1976
38,FIJ,0,0,0,0,1976
38,GRE,0,0,0,0,1976
38,GUA,0,0,0,0,1976
38,HAI,0,0,0,0,1976
38,HKG,0,0,0,0,1976
38,HON,0,0,0,0,1976
38,INA,0,0,0,0,1976
38,IND,0,0,0,0,1976
38,IRL,0,0,0,0,1976
38,ISL,0,0,0,0,1976
38,ISR,0,0,0,0,1976
38,ISV,0,0,0,0,1976
38,KSA,0,0,0,0,1976
38,KUW,0,0,0,0,1976
38,LIB,0,0,0,0,1976
38,LIE,0,0,0,0,1976
38,LUX,0,0,0,0,1976
38,MAR,0,0,0,0,1976
38,MAS,0,0,0,0,1976
38,MON,0,0,0,0,1976
38,NCA,0,0,0,0,1976
38,NEP,0,0,0,0,1976
38,PAN,0,0,0,0,1976
38,PAR,0,0,0,0,1976
38,PER,0,0,0,0,1976
38,PHI,0,0,0,0,1976
38,PNG,0,0,0,0,1976
38,SEN,0,0,0,0,1976
38,SGP,0,0,0,0,1976
38,SMR,0,0,0,0,1976
38,SUR,0,0,0,0,1976
38,TUN,0,0,0,0,1976
38,TUR,0,0,0,0,1976
38,URU,0,0,0,0,1976
1,Soviet Union,80,69,46,195,1980
2,East Germany,47,37,42,126,1980
3,Bulgaria,8,16,17,41,1980
4,Cuba,8,7,5,20,1980
5,Italy,8,3,4,15,1980
6,Hungary,7,10,15,32,1980
7,Romania,6,6,13,25,1980
8,France,6,5,3,14,1980
9,Great Britain,5,7,9,21,1980
10,Poland,3,14,15,32,1980
11,Sweden,3,3,6,12,1980
12,Finland,3,1,4,8,1980
13,Czechoslovakia,2,3,9,14,1980
14,Yugoslavia,2,3,4,9,1980
15,Australia,2,2,5,9,1980
16,Denmark,2,1,2,5,1980
17,Brazil,2,0,2,4,1980
17,Ethiopia,2,0,2,4,1980
19,Switzerland,2,0,0,2,1980
20,Spain,1,3,2,6,1980
21,Austria,1,2,1,4,1980
22,Greece,1,0,2,3,1980
23,Belgium,1,0,0,1,1980
23,India,1,0,0,1,1980
23,Zimbabwe,1,0,0,1,1980
26,North Korea,0,3,2,5,1980
27,Mongolia,0,2,2,4,1980
28,Tanzania,0,2,0,2,1980
29,Mexico,0,1,3,4,1980
30,Netherlands,0,1,2,3,1980
31,Ireland,0,1,1,2,1980
32,Uganda,0,1,0,1,1980
32,Venezuela,0,1,0,1,1980
34,Jamaica,0,0,3,3,1980
35,Guyana,0,0,1,1,1980
35,Lebanon,0,0,1,1,1980
36,AFG,0,0,0,0,1980
36,ALG,0,0,0,0,1980
36,AND,0,0,0,0,1980
36,ANG,0,0,0,0,1980
36,BEN,0,0,0,0,1980
36,BOT,0,0,0,0,1980
36,CGO,0,0,0,0,1980
36,CMR,0,0,0,0,1980
36,COL,0,0,0,0,1980
36,CRC,0,0,0,0,1980
36,CYP,0,0,0,0,1980
36,DOM,0,0,0,0,1980
36,ECU,0,0,0,0,1980
36,GUA,0,0,0,0,1980
36,GUI,0,0,0,0,1980
36,IRQ,0,0,0,0,1980
36,ISL,0,0,0,0,1980
36,JOR,0,0,0,0,1980
36,KUW,0,0,0,0,1980
36,LAO,0,0,0,0,1980
36,LBA,0,0,0,0,1980
36,LES,0,0,0,0,1980
36,LUX,0,0,0,0,1980
36,MAD,0,0,0,0,1980
36,MLI,0,0,0,0,1980
36,MLT,0,0,0,0,1980
36,MOZ,0,0,0,0,1980
36,MYA,0,0,0,0,1980
36,NCA,0,0,0,0,1980
36,NEP,0,0,0,0,1980
36,NGR,0,0,0,0,1980
36,NZL,0,0,0,0,1980
36,PER,0,0,0,0,1980
36,POR,0,0,0,0,1980
36,PUR,0,0,0,0,1980
36,SEN,0,0,0,0,1980
36,SEY,0,0,0,0,1980
36,SLE,0,0,0,0,1980
36,SMR,0,0,0,0,1980
36,SRI,0,0,0,0,1980
36,SYR,0,0,0,0,1980
36,TTO,0,0,0,0,1980
36,VIE,0,0,0,0,1980
36,ZAM,0,0,0,0,1980
1,United States,83,61,30,174,1984
2,Romania,20,16,17,53,1984
3,West Germany,17,19,23,59,1984
4,China,15,8,9,32,1984
5,Italy,14,6,12,32,1984
6,Canada,10,18,16,44,1984
7,Japan,10,8,14,32,1984
8,New Zealand,8,1,2,11,1984
9,Yugoslavia,7,4,7,18,1984
10,South Korea,6,6,7,19,1984
11,Great Britain,5,11,21,37,1984
12,France,5,7,16,28,1984
13,Netherlands,5,2,6,13,1984
14,Australia,4,8,12,24,1984
15,Finland,4,2,6,12,1984
16,Sweden,2,11,6,19,1984
17,Mexico,2,3,1,6,1984
18,Morocco,2,0,0,2,1984
19,Brazil,1,5,2,8,1984
20,Spain,1,2,2,5,1984
21,Belgium,1,1,2,4,1984
22,Austria,1,1,1,3,1984
23,Kenya,1,0,2,3,1984
23,Portugal,1,0,2,3,1984
25,Pakistan,1,0,0,1,1984
26,Switzerland,0,4,4,8,1984
27,Denmark,0,3,3,6,1984
28,Jamaica,0,1,2,3,1984
28,Norway,0,1,2,3,1984
30,Greece,0,1,1,2,1984
30,Nigeria,0,1,1,2,1984
30,Puerto Rico,0,1,1,2,1984
33,Colombia,0,1,0,1,1984
33,Egypt,0,1,0,1,1984
33,Ireland,0,1,0,1,1984
33,Ivory Coast,0,1,0,1,1984
33,Peru,0,1,0,1,1984
33,Syria,0,1,0,1,1984
33,Thailand,0,1,0,1,1984
40,Turkey,0,0,3,3,1984
40,Venezuela,0,0,3,3,1984
42,Algeria,0,0,2,2,1984
43,Cameroon,0,0,1,1,1984
43,Chinese Taipei,0,0,1,1,1984
43,Dominican Republic,0,0,1,1,1984
43,Iceland,0,0,1,1,1984
43,Zambia,0,0,1,1,1984
44,AHO,0,0,0,0,1984
44,AND,0,0,0,0,1984
44,ANT,0,0,0,0,1984
44,ARG,0,0,0,0,1984
44,BAH,0,0,0,0,1984
44,BAN,0,0,0,0,1984
44,BAR,0,0,0,0,1984
44,BEN,0,0,0,0,1984
44,BER,0,0,0,0,1984
44,BHU,0,0,0,0,1984
44,BIZ,0,0,0,0,1984
44,BOL,0,0,0,0,1984
44,BOT,0,0,0,0,1984
44,BRN,0,0,0,0,1984
44,CAF,0,0,0,0,1984
44,CAY,0,0,0,0,1984
44,CGO,0,0,0,0,1984
44,CHA,0,0,0,0,1984
44,CHI,0,0,0,0,1984
44,COD,0,0,0,0,1984
44,CRC,0,0,0,0,1984
44,CYP,0,0,0,0,1984
44,DJI,0,0,0,0,1984
44,ECU,0,0,0,0,1984
44,ESA,0,0,0,0,1984
44,FIJ,0,0,0,0,1984
44,GAB,0,0,0,0,1984
44,GAM,0,0,0,0,1984
44,GEQ,0,0,0,0,1984
44,GHA,0,0,0,0,1984
44,GRN,0,0,0,0,1984
44,GUA,0,0,0,0,1984
44,GUI,0,0,0,0,1984
44,GUY,0,0,0,0,1984
44,HAI,0,0,0,0,1984
44,HKG,0,0,0,0,1984
44,HON,0,0,0,0,1984
44,INA,0,0,0,0,1984
44,IND,0,0,0,0,1984
44,IRQ,0,0,0,0,1984
44,ISR,0,0,0,0,1984
44,ISV,0,0,0,0,1984
44,IVB,0,0,0,0,1984
44,JOR,0,0,0,0,1984
44,KSA,0,0,0,0,1984
44,KUW,0,0,0,0,1984
44,LBR,0,0,0,0,1984
44,LES,0,0,0,0,1984
44,LIB,0,0,0,0,1984
44,LIE,0,0,0,0,1984
44,LUX,0,0,0,0,1984
44,MAD,0,0,0,0,1984
44,MAS,0,0,0,0,1984
44,MAW,0,0,0,0,1984
44,MLI,0,0,0,0,1984
44,MLT,0,0,0,0,1984
44,MON,0,0,0,0,1984
44,MOZ,0,0,0,0,1984
44,MRI,0,0,0,0,1984
44,MTN,0,0,0,0,1984
44,MYA,0,0,0,0,1984
44,NCA,0,0,0,0,1984
44,NEP,0,0,0,0,1984
44,NIG,0,0,0,0,1984
44,OMA,0,0,0,0,1984
44,PAN,0,0,0,0,1984
44,PAR,0,0,0,0,1984
44,PHI,0,0,0,0,1984
44,PNG,0,0,0,0,1984
44,QAT,0,0,0,0,1984
44,RWA,0,0,0,0,1984
44,SAM,0,0,0,0,1984
44,SEN,0,0,0,0,1984
44,SEY,0,0,0,0,1984
44,SGP,0,0,0,0,1984
44,SLE,0,0,0,0,1984
44,SMR,0,0,0,0,1984
44,SOL,0,0,0,0,1984
44,SOM,0,0,0,0,1984
44,SRI,0,0,0,0,1984
44,SUD,0,0,0,0,1984
44,SUR,0,0,0,0,1984
44,SWZ,0,0,0,0,1984
44,TAN,0,0,0,0,1984
44,TGA,0,0,0,0,1984
44,TOG,0,0,0,0,1984
44,TTO,0,0,0,0,1984
44,TUN,0,0,0,0,1984
44,UAE,0,0,0,0,1984
44,UGA,0,0,0,0,1984
44,URU,0,0,0,0,1984
44,YAR,0,0,0,0,1984
44,ZIM,0,0,0,0,1984
1,Soviet Union,55,31,46,132,1988
2,East Germany,37,35,30,102,1988
3,United States,36,31,27,94,1988
4,South Korea,12,10,11,33,1988
5,West Germany,11,14,15,40,1988
6,Hungary,11,6,6,23,1988
7,Bulgaria,10,12,13,35,1988
8,Romania,7,11,6,24,1988
9,France,6,4,6,16,1988
10,Italy,6,4,4,14,1988
11,China,5,11,12,28,1988
12,Great Britain,5,10,9,24,1988
13,Kenya,5,2,2,9,1988
14,Japan,4,3,7,14,1988
15,Australia,3,6,5,14,1988
16,Yugoslavia,3,4,5,12,1988
17,Czechoslovakia,3,3,2,8,1988
18,New Zealand,3,2,8,13,1988
19,Canada,3,2,5,10,1988
20,Poland,2,5,9,16,1988
21,Norway,2,3,0,5,1988
22,Netherlands,2,2,5,9,1988
23,Denmark,2,1,1,4,1988
24,Brazil,1,2,3,6,1988
25,Finland,1,1,2,4,1988
25,Spain,1,1,2,4,1988
27,Turkey,1,1,0,2,1988
28,Morocco,1,0,2,3,1988
29,Austria,1,0,0,1,1988
29,Portugal,1,0,0,1,1988
29,Suriname,1,0,0,1,1988
32,Sweden,0,4,7,11,1988
33,Switzerland,0,2,2,4,1988
34,Jamaica,0,2,0,2,1988
35,Argentina,0,1,1,2,1988
36,Chile,0,1,0,1,1988
36,Costa Rica,0,1,0,1,1988
36,Indonesia,0,1,0,1,1988
36,Iran,0,1,0,1,1988
36,Netherlands Antilles,0,1,0,1,1988
36,Peru,0,1,0,1,1988
36,Senegal,0,1,0,1,1988
36,Virgin Islands,0,1,0,1,1988
44,Belgium,0,0,2,2,1988
44,Mexico,0,0,2,2,1988
46,Colombia,0,0,1,1,1988
46,Djibouti,0,0,1,1,1988
46,Greece,0,0,1,1,1988
46,Mongolia,0,0,1,1,1988
46,Pakistan,0,0,1,1,1988
46,Philippines,0,0,1,1,1988
46,Thailand,0,0,1,1,1988
47,AFG,0,0,0,0,1988
47,ALG,0,0,0,0,1988
47,AND,0,0,0,0,1988
47,ANG,0,0,0,0,1988
47,ANT,0,0,0,0,1988
47,ARU,0,0,0,0,1988
47,ASA,0,0,0,0,1988
47,BAH,0,0,0,0,1988
47,BAN,0,0,0,0,1988
47,BAR,0,0,0,0,1988
47,BEN,0,0,0,0,1988
47,BER,0,0,0,0,1988
47,BHU,0,0,0,0,1988
47,BIZ,0,0,0,0,1988
47,BOL,0,0,0,0,1988
47,BOT,0,0,0,0,1988
47,BRN,0,0,0,0,1988
47,BUR,0,0,0,0,1988
47,CAF,0,0,0,0,1988
47,CAY,0,0,0,0,1988
47,CGO,0,0,0,0,1988
47,CHA,0,0,0,0,1988
47,CIV,0,0,0,0,1988
47,CMR,0,0,0,0,1988
47,COD,0,0,0,0,1988
47,COK,0,0,0,0,1988
47,CYP,0,0,0,0,1988
47,DOM,0,0,0,0,1988
47,ECU,0,0,0,0,1988
47,EGY,0,0,0,0,1988
47,ESA,0,0,0,0,1988
47,FIJ,0,0,0,0,1988
47,GAB,0,0,0,0,1988
47,GAM,0,0,0,0,1988
47,GEQ,0,0,0,0,1988
47,GHA,0,0,0,0,1988
47,GRN,0,0,0,0,1988
47,GUA,0,0,0,0,1988
47,GUI,0,0,0,0,1988
47,GUM,0,0,0,0,1988
47,GUY,0,0,0,0,1988
47,HAI,0,0,0,0,1988
47,HKG,0,0,0,0,1988
47,HON,0,0,0,0,1988
47,IND,0,0,0,0,1988
47,IRL,0,0,0,0,1988
47,IRQ,0,0,0,0,1988
47,ISL,0,0,0,0,1988
47,ISR,0,0,0,0,1988
47,IVB,0,0,0,0,1988
47,JOR,0,0,0,0,1988
47,KSA,0,0,0,0,1988
47,KUW,0,0,0,0,1988
47,LAO,0,0,0,0,1988
47,LBA,0,0,0,0,1988
47,LBR,0,0,0,0,1988
47,LES,0,0,0,0,1988
47,LIB,0,0,0,0,1988
47,LIE,0,0,0,0,1988
47,LUX,0,0,0,0,1988
47,MAS,0,0,0,0,1988
47,MAW,0,0,0,0,1988
47,MDV,0,0,0,0,1988
47,MLI,0,0,0,0,1988
47,MLT,0,0,0,0,1988
47,MON,0,0,0,0,1988
47,MOZ,0,0,0,0,1988
47,MRI,0,0,0,0,1988
47,MTN,0,0,0,0,1988
47,MYA,0,0,0,0,1988
47,NEP,0,0,0,0,1988
47,NGR,0,0,0,0,1988
47,NIG,0,0,0,0,1988
47,OMA,0,0,0,0,1988
47,PAN,0,0,0,0,1988
47,PAR,0,0,0,0,1988
47,PNG,0,0,0,0,1988
47,PUR,0,0,0,0,1988
47,QAT,0,0,0,0,1988
47,RWA,0,0,0,0,1988
47,SAM,0,0,0,0,1988
47,SGP,0,0,0,0,1988
47,SLE,0,0,0,0,1988
47,SMR,0,0,0,0,1988
47,SOL,0,0,0,0,1988
47,SOM,0,0,0,0,1988
47,SRI,0,0,0,0,1988
47,SUD,0,0,0,0,1988
47,SWZ,0,0,0,0,1988
47,SYR,0,0,0,0,1988
47,TAN,0,0,0,0,1988
47,TGA,0,0,0,0,1988
47,TOG,0,0,0,0,1988
47,TPE,0,0,0,0,1988
47,TTO,0,0,0,0,1988
47,TUN,0,0,0,0,1988
47,UAE,0,0,0,0,1988
47,UGA,0,0,0,0,1988
47,URU,0,0,0,0,1988
47,VAN,0,0,0,0,1988
47,VEN,0,0,0,0,1988
47,VIE,0,0,0,0,1988
47,VIN,0,0,0,0,1988
47,YAR,0,0,0,0,1988
47,YMD,0,0,0,0,1988
47,ZAM,0,0,0,0,1988
47,ZIM,0,0,0,0,1988
1,Unified Team,45,38,29,112,1992
2,United States,37,34,37,108,1992
3,Germany,33,21,28,82,1992
4,China,16,22,16,54,1992
5,Cuba,14,6,11,31,1992
6,Spain,13,7,2,22,1992
7,South Korea,12,5,12,29,1992
8,Hungary,11,12,7,30,1992
9,France,8,5,16,29,1992
10,Australia,7,9,11,27,1992
11,Canada,7,4,7,18,1992
12,Italy,6,5,8,19,1992
13,Great Britain,5,3,12,20,1992
14,Romania,4,6,8,18,1992
15,Czechoslovakia,4,2,1,7,1992
16,North Korea,4,0,5,9,1992
17,Japan,3,8,11,22,1992
18,Bulgaria,3,7,6,16,1992
19,Poland,3,6,10,19,1992
20,Netherlands,2,6,7,15,1992
21,Kenya,2,4,2,8,1992
22,Norway,2,4,1,7,1992
23,Turkey,2,2,2,6,1992
24,Indonesia,2,2,1,5,1992
25,Brazil,2,1,0,3,1992
26,Greece,2,0,0,2,1992
27,Sweden,1,7,4,12,1992
28,New Zealand,1,4,5,10,1992
29,Finland,1,2,2,5,1992
30,Denmark,1,1,4,6,1992
31,Morocco,1,1,1,3,1992
32,Ireland,1,1,0,2,1992
33,Ethiopia,1,0,2,3,1992
34,Algeria,1,0,1,2,1992
34,Estonia,1,0,1,2,1992
34,Lithuania,1,0,1,2,1992
37,Switzerland,1,0,0,1,1992
38,Jamaica,0,3,1,4,1992
38,Nigeria,0,3,1,4,1992
40,Latvia,0,2,1,3,1992
41,Austria,0,2,0,2,1992
41,Namibia,0,2,0,2,1992
41,South Africa,0,2,0,2,1992
44,Belgium,0,1,2,3,1992
44,Croatia,0,1,2,3,1992
44,Independent Olympic Participants,0,1,2,3,1992
44,Iran,0,1,2,3,1992
48,Israel,0,1,1,2,1992
49,Chinese Taipei,0,1,0,1,1992
49,Mexico,0,1,0,1,1992
49,Peru,0,1,0,1,1992
52,Mongolia,0,0,2,2,1992
52,Slovenia,0,0,2,2,1992
54,Argentina,0,0,1,1,1992
54,Bahamas,0,0,1,1,1992
54,Colombia,0,0,1,1,1992
54,Ghana,0,0,1,1,1992
54,Malaysia,0,0,1,1,1992
54,Pakistan,0,0,1,1,1992
54,Philippines,0,0,1,1,1992
54,Puerto Rico,0,0,1,1,1992
54,Qatar,0,0,1,1,1992
54,Suriname,0,0,1,1,1992
54,Thailand,0,0,1,1,1992
55,AHO,0,0,0,0,1992
55,ALB,0,0,0,0,1992
55,AND,0,0,0,0,1992
55,ANG,0,0,0,0,1992
55,ANT,0,0,0,0,1992
55,ARU,0,0,0,0,1992
55,ASA,0,0,0,0,1992
55,BAN,0,0,0,0,1992
55,BAR,0,0,0,0,1992
55,BEN,0,0,0,0,1992
55,BER,0,0,0,0,1992
55,BHU,0,0,0,0,1992
55,BIH,0,0,0,0,1992
55,BIZ,0,0,0,0,1992
55,BOL,0,0,0,0,1992
55,BOT,0,0,0,0,1992
55,BRN,0,0,0,0,1992
55,BUR,0,0,0,0,1992
55,CAF,0,0,0,0,1992
55,CAY,0,0,0,0,1992
55,CGO,0,0,0,0,1992
55,CHA,0,0,0,0,1992
55,CHI,0,0,0,0,1992
55,CIV,0,0,0,0,1992
55,CMR,0,0,0,0,1992
55,COD,0,0,0,0,1992
55,COK,0,0,0,0,1992
55,CRC,0,0,0,0,1992
55,CYP,0,0,0,0,1992
55,DJI,0,0,0,0,1992
55,DOM,0,0,0,0,1992
55,ECU,0,0,0,0,1992
55,EGY,0,0,0,0,1992
55,ESA,0,0,0,0,1992
55,FIJ,0,0,0,0,1992
55,GAB,0,0,0,0,1992
55,GAM,0,0,0,0,1992
55,GEQ,0,0,0,0,1992
55,GRN,0,0,0,0,1992
55,GUA,0,0,0,0,1992
55,GUI,0,0,0,0,1992
55,GUM,0,0,0,0,1992
55,GUY,0,0,0,0,1992
55,HAI,0,0,0,0,1992
55,HKG,0,0,0,0,1992
55,HON,0,0,0,0,1992
55,IND,0,0,0,0,1992
55,IRQ,0,0,0,0,1992
55,ISL,0,0,0,0,1992
55,ISV,0,0,0,0,1992
55,IVB,0,0,0,0,1992
55,JOR,0,0,0,0,1992
55,KSA,0,0,0,0,1992
55,KUW,0,0,0,0,1992
55,LAO,0,0,0,0,1992
55,LBA,0,0,0,0,1992
55,LES,0,0,0,0,1992
55,LIB,0,0,0,0,1992
55,LIE,0,0,0,0,1992
55,LUX,0,0,0,0,1992
55,MAD,0,0,0,0,1992
55,MAW,0,0,0,0,1992
55,MDV,0,0,0,0,1992
55,MLI,0,0,0,0,1992
55,MLT,0,0,0,0,1992
55,MON,0,0,0,0,1992
55,MOZ,0,0,0,0,1992
55,MRI,0,0,0,0,1992
55,MTN,0,0,0,0,1992
55,MYA,0,0,0,0,1992
55,NCA,0,0,0,0,1992
55,NEP,0,0,0,0,1992
55,NIG,0,0,0,0,1992
55,OMA,0,0,0,0,1992
55,PAN,0,0,0,0,1992
55,PAR,0,0,0,0,1992
55,PNG,0,0,0,0,1992
55,POR,0,0,0,0,1992
55,RWA,0,0,0,0,1992
55,SAM,0,0,0,0,1992
55,SEN,0,0,0,0,1992
55,SEY,0,0,0,0,1992
55,SGP,0,0,0,0,1992
55,SLE,0,0,0,0,1992
55,SMR,0,0,0,0,1992
55,SOL,0,0,0,0,1992
55,SRI,0,0,0,0,1992
55,SUD,0,0,0,0,1992
55,SWZ,0,0,0,0,1992
55,SYR,0,0,0,0,1992
55,TAN,0,0,0,0,1992
55,TGA,0,0,0,0,1992
55,TOG,0,0,0,0,1992
55,TTO,0,0,0,0,1992
55,TUN,0,0,0,0,1992
55,UAE,0,0,0,0,1992
55,UGA,0,0,0,0,1992
55,URU,0,0,0,0,1992
55,VAN,0,0,0,0,1992
55,VEN,0,0,0,0,1992
55,VIE,0,0,0,0,1992
55,VIN,0,0,0,0,1992
55,YEM,0,0,0,0,1992
55,ZAM,0,0,0,0,1992
55,ZIM,0,0,0,0,1992
1,United States,44,32,25,101,1996
2,Russia,26,21,16,63,1996
3,Germany,20,18,27,65,1996
4,China,16,22,12,50,1996
5,France,15,7,15,37,1996
6,Italy,13,10,12,35,1996
7,Australia,9,9,23,41,1996
8,Cuba,9,8,8,25,1996
9,Ukraine,9,2,12,23,1996
10,South Korea,7,15,5,27,1996
11,Poland,7,5,5,17,1996
12,Hungary,7,4,10,21,1996
13,Spain,5,6,6,17,1996
14,Romania,4,7,9,20,1996
15,Netherlands,4,5,10,19,1996
16,Greece,4,4,0,8,1996
17,Czech Republic,4,3,4,11,1996
18,Switzerland,4,3,0,7,1996
19,Denmark,4,1,1,6,1996
19,Turkey,4,1,1,6,1996
21,Canada,3,11,8,22,1996
22,Bulgaria,3,7,5,15,1996
23,Japan,3,6,5,14,1996
24,Kazakhstan,3,4,4,11,1996
